marker	role_label	category	term	description	fdr	is_member	role_code
LRG1	PMID: (2017) Novel protein biomarkers associated with coronary artery diseas (FDR 0.027)	PMID	PMID:28434814	(2017) Novel protein biomarkers associated with coronary artery disease in statin-treated patients with familial hypercholesterolemia.	0.0271	True	R13
MYH7B	PMID: (2017) Novel protein biomarkers associated with coronary artery diseas (FDR 0.027)	PMID	PMID:28434814	(2017) Novel protein biomarkers associated with coronary artery disease in statin-treated patients with familial hypercholesterolemia.	0.0271	False	R13
ACTG1	PMID: (2022) Importance of Coagulation Factors as Critical Components of Pre (FDR 0.040)	PMID	PMID:36012410	(2022) Importance of Coagulation Factors as Critical Components of Premature Cardiovascular Disease in Familial Hypercholesterolemia.	0.0398	False	R14
VWF	PMID: (2022) Importance of Coagulation Factors as Critical Components of Pre (FDR 0.040)	PMID	PMID:36012410	(2022) Importance of Coagulation Factors as Critical Components of Premature Cardiovascular Disease in Familial Hypercholesterolemia.	0.0398	False	R14
DNAH9	PMID: (2022) Importance of Coagulation Factors as Critical Components of Pre (FDR 0.040)	PMID	PMID:36012410	(2022) Importance of Coagulation Factors as Critical Components of Premature Cardiovascular Disease in Familial Hypercholesterolemia.	0.0398	False	R14
GPX3	PMID: (2022) Importance of Coagulation Factors as Critical Components of Pre (FDR 0.040)	PMID	PMID:36012410	(2022) Importance of Coagulation Factors as Critical Components of Premature Cardiovascular Disease in Familial Hypercholesterolemia.	0.0398	False	R14
C4B	PMID: (2022) Importance of Coagulation Factors as Critical Components of Pre (FDR 0.040)	PMID	PMID:36012410	(2022) Importance of Coagulation Factors as Critical Components of Premature Cardiovascular Disease in Familial Hypercholesterolemia.	0.0398	True	R14
CD44	PMID: (2022) Importance of Coagulation Factors as Critical Components of Pre (FDR 0.040)	PMID	PMID:36012410	(2022) Importance of Coagulation Factors as Critical Components of Premature Cardiovascular Disease in Familial Hypercholesterolemia.	0.0398	False	R14
CFHR2	PMID: (2022) Importance of Coagulation Factors as Critical Components of Pre (FDR 0.040)	PMID	PMID:36012410	(2022) Importance of Coagulation Factors as Critical Components of Premature Cardiovascular Disease in Familial Hypercholesterolemia.	0.0398	False	R14
ITIH3	PMID: (2022) Importance of Coagulation Factors as Critical Components of Pre (FDR 0.040)	PMID	PMID:36012410	(2022) Importance of Coagulation Factors as Critical Components of Premature Cardiovascular Disease in Familial Hypercholesterolemia.	0.0398	True	R14
LRG1	PMID: (2022) Importance of Coagulation Factors as Critical Components of Pre (FDR 0.040)	PMID	PMID:36012410	(2022) Importance of Coagulation Factors as Critical Components of Premature Cardiovascular Disease in Familial Hypercholesterolemia.	0.0398	True	R14
MYH7B	PMID: (2022) Importance of Coagulation Factors as Critical Components of Pre (FDR 0.040)	PMID	PMID:36012410	(2022) Importance of Coagulation Factors as Critical Components of Premature Cardiovascular Disease in Familial Hypercholesterolemia.	0.0398	False	R14
ACTG1	NetworkNeighborAL: Complement and coagulation cascades, and Positive regulation of opsoni (FDR 9.6e-04)	NetworkNeighborAL	CL:18728	Complement and coagulation cascades, and Positive regulation of opsonization	0.00096	False	R12
VWF	NetworkNeighborAL: Complement and coagulation cascades, and Positive regulation of opsoni (FDR 9.6e-04)	NetworkNeighborAL	CL:18728	Complement and coagulation cascades, and Positive regulation of opsonization	0.00096	True	R12
DNAH9	NetworkNeighborAL: Complement and coagulation cascades, and Positive regulation of opsoni (FDR 9.6e-04)	NetworkNeighborAL	CL:18728	Complement and coagulation cascades, and Positive regulation of opsonization	0.00096	False	R12
GPX3	NetworkNeighborAL: Complement and coagulation cascades, and Positive regulation of opsoni (FDR 9.6e-04)	NetworkNeighborAL	CL:18728	Complement and coagulation cascades, and Positive regulation of opsonization	0.00096	False	R12
C4B	NetworkNeighborAL: Complement and coagulation cascades, and Positive regulation of opsoni (FDR 9.6e-04)	NetworkNeighborAL	CL:18728	Complement and coagulation cascades, and Positive regulation of opsonization	0.00096	True	R12
CD44	NetworkNeighborAL: Complement and coagulation cascades, and Positive regulation of opsoni (FDR 9.6e-04)	NetworkNeighborAL	CL:18728	Complement and coagulation cascades, and Positive regulation of opsonization	0.00096	False	R12
CFHR2	NetworkNeighborAL: Complement and coagulation cascades, and Positive regulation of opsoni (FDR 9.6e-04)	NetworkNeighborAL	CL:18728	Complement and coagulation cascades, and Positive regulation of opsonization	0.00096	True	R12
ITIH3	NetworkNeighborAL: Complement and coagulation cascades, and Positive regulation of opsoni (FDR 9.6e-04)	NetworkNeighborAL	CL:18728	Complement and coagulation cascades, and Positive regulation of opsonization	0.00096	True	R12
LRG1	NetworkNeighborAL: Complement and coagulation cascades, and Positive regulation of opsoni (FDR 9.6e-04)	NetworkNeighborAL	CL:18728	Complement and coagulation cascades, and Positive regulation of opsonization	0.00096	False	R12
MYH7B	NetworkNeighborAL: Complement and coagulation cascades, and Positive regulation of opsoni (FDR 9.6e-04)	NetworkNeighborAL	CL:18728	Complement and coagulation cascades, and Positive regulation of opsonization	0.00096	False	R12
