marker	reference_log2FC	reference_direction	contrast_id	context	disease	accession	case_label	control_label	n_case	n_control	ontology_domain	ontology_parent	ontology_detail	human_disease_scope	detected	display_gene	feature_id	uniprot_id	protein_name	log2FC	p_value	FDR	abs_log2FC	tier	cohort_direction	direction_agreement	concordance_status
LRG1	-1.7199999999999989	down_in_chronic	PXD044264_plasma_AKI_subphenotype_2_vs_1	conditional_plasma_aki_subphenotype	AKI plasma subphenotype 2 vs 1	PXD044264	AKI_subphenotype_2	AKI_subphenotype_1	42	14	Kidney/urinary	acute kidney injury	AKI plasma subphenotype 2 versus subphenotype 1	human	True	LRG1	P02750	P02750	Leucine-rich alpha-2-glycoprotein (LRG)	0.3910033887745996	0.0100582156791612	0.0243672248893966	0.3910033887745996	not_tiered	up_in_case	opposite_direction	weak_opposite_direction
MYH7B	-5.32	down_in_chronic	PXD044264_plasma_AKI_subphenotype_2_vs_1	conditional_plasma_aki_subphenotype	AKI plasma subphenotype 2 vs 1	PXD044264	AKI_subphenotype_2	AKI_subphenotype_1	42	14	Kidney/urinary	acute kidney injury	AKI plasma subphenotype 2 versus subphenotype 1	human	False									not_detected	not_detected	not_detected	not_detected_or_unmapped
ACTG1	-5.98	down_in_chronic	PXD054937_tissue_PTDM_vs_NG	tissue_context_proximal_tubule	proximal tubule tissue post-transplant diabetes vs normoglycemic	PXD054937	PTDM	NG	6	5	Kidney/urinary	proximal tubule tissue context	Human FFPE proximal tubule diabetes-related tissue context	human	False									not_detected	not_detected	not_detected	not_detected_or_unmapped
VWF	4.280000000000001	up_in_chronic	PXD054937_tissue_PTDM_vs_NG	tissue_context_proximal_tubule	proximal tubule tissue post-transplant diabetes vs normoglycemic	PXD054937	PTDM	NG	6	5	Kidney/urinary	proximal tubule tissue context	Human FFPE proximal tubule diabetes-related tissue context	human	True	VWF	P04275	P04275	von Willebrand factor OS=Homo sapiens OX=9606 GN=VWF PE=1 SV=4	0.1118505305950083	0.7945713130243292	0.9975566789175536	0.1118505305950083	not_tiered	up_in_case	same_direction	weak_same_direction
DNAH9	5.84	up_in_chronic	PXD054937_tissue_PTDM_vs_NG	tissue_context_proximal_tubule	proximal tubule tissue post-transplant diabetes vs normoglycemic	PXD054937	PTDM	NG	6	5	Kidney/urinary	proximal tubule tissue context	Human FFPE proximal tubule diabetes-related tissue context	human	False									not_detected	not_detected	not_detected	not_detected_or_unmapped
GPX3	-2.8299999999999983	down_in_chronic	PXD054937_tissue_PTDM_vs_NG	tissue_context_proximal_tubule	proximal tubule tissue post-transplant diabetes vs normoglycemic	PXD054937	PTDM	NG	6	5	Kidney/urinary	proximal tubule tissue context	Human FFPE proximal tubule diabetes-related tissue context	human	True	GPX3	P22352	P22352	Glutathione peroxidase 3 OS=Homo sapiens OX=9606 GN=GPX3 PE=1 SV=2	-0.1217664044362116	0.6709986630136185	0.9975566789175536	0.1217664044362116	not_tiered	down_in_case	same_direction	weak_same_direction
C4B	-4.150000000000002	down_in_chronic	PXD054937_tissue_PTDM_vs_NG	tissue_context_proximal_tubule	proximal tubule tissue post-transplant diabetes vs normoglycemic	PXD054937	PTDM	NG	6	5	Kidney/urinary	proximal tubule tissue context	Human FFPE proximal tubule diabetes-related tissue context	human	True	C4B	P0C0L5	P0C0L5	Complement C4-B OS=Homo sapiens OX=9606 GN=C4B PE=1 SV=2	-0.2711094701046939	0.0986875931361809	0.9975566789175536	0.2711094701046939	not_tiered	down_in_case	same_direction	weak_same_direction
CD44	1.5799999999999983	up_in_chronic	PXD054937_tissue_PTDM_vs_NG	tissue_context_proximal_tubule	proximal tubule tissue post-transplant diabetes vs normoglycemic	PXD054937	PTDM	NG	6	5	Kidney/urinary	proximal tubule tissue context	Human FFPE proximal tubule diabetes-related tissue context	human	True	CD44	P16070	P16070	CD44 antigen OS=Homo sapiens OX=9606 GN=CD44 PE=1 SV=3	-0.2996369852839997	0.2452045265286846	0.9975566789175536	0.2996369852839997	not_tiered	down_in_case	opposite_direction	weak_opposite_direction
CFHR2	1.4699999999999989	up_in_chronic	PXD054937_tissue_PTDM_vs_NG	tissue_context_proximal_tubule	proximal tubule tissue post-transplant diabetes vs normoglycemic	PXD054937	PTDM	NG	6	5	Kidney/urinary	proximal tubule tissue context	Human FFPE proximal tubule diabetes-related tissue context	human	True	CFHR2	P36980	P36980	Complement factor H-related protein 2 OS=Homo sapiens OX=9606 GN=CFHR2 PE=1 SV=1	-0.3548875079002469	0.2747758026654104	0.9975566789175536	0.3548875079002469	not_tiered	down_in_case	opposite_direction	weak_opposite_direction
ITIH3	-1.2100000000000009	down_in_chronic	PXD054937_tissue_PTDM_vs_NG	tissue_context_proximal_tubule	proximal tubule tissue post-transplant diabetes vs normoglycemic	PXD054937	PTDM	NG	6	5	Kidney/urinary	proximal tubule tissue context	Human FFPE proximal tubule diabetes-related tissue context	human	True	ITIH3	Q06033	Q06033	Inter-alpha-trypsin inhibitor heavy chain H3 OS=Homo sapiens OX=9606 GN=ITIH3 PE=1 SV=2	-0.0008034979168183	0.9966445533388928	0.999284827470059	0.0008034979168183	not_tiered	down_in_case	same_direction	weak_same_direction
LRG1	-1.7199999999999989	down_in_chronic	PXD054937_tissue_PTDM_vs_NG	tissue_context_proximal_tubule	proximal tubule tissue post-transplant diabetes vs normoglycemic	PXD054937	PTDM	NG	6	5	Kidney/urinary	proximal tubule tissue context	Human FFPE proximal tubule diabetes-related tissue context	human	False									not_detected	not_detected	not_detected	not_detected_or_unmapped
MYH7B	-5.32	down_in_chronic	PXD054937_tissue_PTDM_vs_NG	tissue_context_proximal_tubule	proximal tubule tissue post-transplant diabetes vs normoglycemic	PXD054937	PTDM	NG	6	5	Kidney/urinary	proximal tubule tissue context	Human FFPE proximal tubule diabetes-related tissue context	human	False									not_detected	not_detected	not_detected	not_detected_or_unmapped
ACTG1	-5.98	down_in_chronic	PXD054937_tissue_T2DM_vs_NG	tissue_context_proximal_tubule	proximal tubule tissue pre-existing type 2 diabetes vs normoglycemic	PXD054937	T2DM	NG	6	5	Kidney/urinary	proximal tubule tissue context	Human FFPE proximal tubule diabetes-related tissue context	human	False									not_detected	not_detected	not_detected	not_detected_or_unmapped
VWF	4.280000000000001	up_in_chronic	PXD054937_tissue_T2DM_vs_NG	tissue_context_proximal_tubule	proximal tubule tissue pre-existing type 2 diabetes vs normoglycemic	PXD054937	T2DM	NG	6	5	Kidney/urinary	proximal tubule tissue context	Human FFPE proximal tubule diabetes-related tissue context	human	True	VWF	P04275	P04275	von Willebrand factor OS=Homo sapiens OX=9606 GN=VWF PE=1 SV=4	0.334678611573258	0.3269148507510695	0.9998835168238576	0.334678611573258	not_tiered	up_in_case	same_direction	weak_same_direction
DNAH9	5.84	up_in_chronic	PXD054937_tissue_T2DM_vs_NG	tissue_context_proximal_tubule	proximal tubule tissue pre-existing type 2 diabetes vs normoglycemic	PXD054937	T2DM	NG	6	5	Kidney/urinary	proximal tubule tissue context	Human FFPE proximal tubule diabetes-related tissue context	human	False									not_detected	not_detected	not_detected	not_detected_or_unmapped
GPX3	-2.8299999999999983	down_in_chronic	PXD054937_tissue_T2DM_vs_NG	tissue_context_proximal_tubule	proximal tubule tissue pre-existing type 2 diabetes vs normoglycemic	PXD054937	T2DM	NG	6	5	Kidney/urinary	proximal tubule tissue context	Human FFPE proximal tubule diabetes-related tissue context	human	True	GPX3	P22352	P22352	Glutathione peroxidase 3 OS=Homo sapiens OX=9606 GN=GPX3 PE=1 SV=2	-0.1598003110038597	0.3622738453246014	0.9998835168238576	0.1598003110038597	not_tiered	down_in_case	same_direction	weak_same_direction
C4B	-4.150000000000002	down_in_chronic	PXD054937_tissue_T2DM_vs_NG	tissue_context_proximal_tubule	proximal tubule tissue pre-existing type 2 diabetes vs normoglycemic	PXD054937	T2DM	NG	6	5	Kidney/urinary	proximal tubule tissue context	Human FFPE proximal tubule diabetes-related tissue context	human	True	C4B	P0C0L5	P0C0L5	Complement C4-B OS=Homo sapiens OX=9606 GN=C4B PE=1 SV=2	-0.0229698386134469	0.8693000403804145	0.9998835168238576	0.0229698386134469	not_tiered	down_in_case	same_direction	weak_same_direction
CD44	1.5799999999999983	up_in_chronic	PXD054937_tissue_T2DM_vs_NG	tissue_context_proximal_tubule	proximal tubule tissue pre-existing type 2 diabetes vs normoglycemic	PXD054937	T2DM	NG	6	5	Kidney/urinary	proximal tubule tissue context	Human FFPE proximal tubule diabetes-related tissue context	human	True	CD44	P16070	P16070	CD44 antigen OS=Homo sapiens OX=9606 GN=CD44 PE=1 SV=3	-0.1751915828427357	0.3573195121297632	0.9998835168238576	0.1751915828427357	not_tiered	down_in_case	opposite_direction	weak_opposite_direction
CFHR2	1.4699999999999989	up_in_chronic	PXD054937_tissue_T2DM_vs_NG	tissue_context_proximal_tubule	proximal tubule tissue pre-existing type 2 diabetes vs normoglycemic	PXD054937	T2DM	NG	6	5	Kidney/urinary	proximal tubule tissue context	Human FFPE proximal tubule diabetes-related tissue context	human	True	CFHR2	P36980	P36980	Complement factor H-related protein 2 OS=Homo sapiens OX=9606 GN=CFHR2 PE=1 SV=1	0.1420549009991027	0.4889341598060811	0.9998835168238576	0.1420549009991027	not_tiered	up_in_case	same_direction	weak_same_direction
ITIH3	-1.2100000000000009	down_in_chronic	PXD054937_tissue_T2DM_vs_NG	tissue_context_proximal_tubule	proximal tubule tissue pre-existing type 2 diabetes vs normoglycemic	PXD054937	T2DM	NG	6	5	Kidney/urinary	proximal tubule tissue context	Human FFPE proximal tubule diabetes-related tissue context	human	True	ITIH3	Q06033	Q06033	Inter-alpha-trypsin inhibitor heavy chain H3 OS=Homo sapiens OX=9606 GN=ITIH3 PE=1 SV=2	0.4462231946669295	0.0873326543500786	0.9998835168238576	0.4462231946669295	not_tiered	up_in_case	opposite_direction	weak_opposite_direction
LRG1	-1.7199999999999989	down_in_chronic	PXD054937_tissue_T2DM_vs_NG	tissue_context_proximal_tubule	proximal tubule tissue pre-existing type 2 diabetes vs normoglycemic	PXD054937	T2DM	NG	6	5	Kidney/urinary	proximal tubule tissue context	Human FFPE proximal tubule diabetes-related tissue context	human	False									not_detected	not_detected	not_detected	not_detected_or_unmapped
MYH7B	-5.32	down_in_chronic	PXD054937_tissue_T2DM_vs_NG	tissue_context_proximal_tubule	proximal tubule tissue pre-existing type 2 diabetes vs normoglycemic	PXD054937	T2DM	NG	6	5	Kidney/urinary	proximal tubule tissue context	Human FFPE proximal tubule diabetes-related tissue context	human	False									not_detected	not_detected	not_detected	not_detected_or_unmapped
ACTG1	-5.98	down_in_chronic	PXD054937_tissue_T2DM_vs_PTDM	tissue_context_proximal_tubule	proximal tubule tissue pre-existing type 2 diabetes vs post-transplant diabetes	PXD054937	T2DM	PTDM	6	6	Kidney/urinary	proximal tubule tissue context	Human FFPE proximal tubule diabetes-related tissue context	human	False									not_detected	not_detected	not_detected	not_detected_or_unmapped
VWF	4.280000000000001	up_in_chronic	PXD054937_tissue_T2DM_vs_PTDM	tissue_context_proximal_tubule	proximal tubule tissue pre-existing type 2 diabetes vs post-transplant diabetes	PXD054937	T2DM	PTDM	6	6	Kidney/urinary	proximal tubule tissue context	Human FFPE proximal tubule diabetes-related tissue context	human	True	VWF	P04275	P04275	von Willebrand factor OS=Homo sapiens OX=9606 GN=VWF PE=1 SV=4	0.3097663137475894	0.2521761745645097	0.9089520388310324	0.3097663137475894	not_tiered	up_in_case	same_direction	weak_same_direction
DNAH9	5.84	up_in_chronic	PXD054937_tissue_T2DM_vs_PTDM	tissue_context_proximal_tubule	proximal tubule tissue pre-existing type 2 diabetes vs post-transplant diabetes	PXD054937	T2DM	PTDM	6	6	Kidney/urinary	proximal tubule tissue context	Human FFPE proximal tubule diabetes-related tissue context	human	False									not_detected	not_detected	not_detected	not_detected_or_unmapped
GPX3	-2.8299999999999983	down_in_chronic	PXD054937_tissue_T2DM_vs_PTDM	tissue_context_proximal_tubule	proximal tubule tissue pre-existing type 2 diabetes vs post-transplant diabetes	PXD054937	T2DM	PTDM	6	6	Kidney/urinary	proximal tubule tissue context	Human FFPE proximal tubule diabetes-related tissue context	human	True	GPX3	P22352	P22352	Glutathione peroxidase 3 OS=Homo sapiens OX=9606 GN=GPX3 PE=1 SV=2	-0.038033906567648	0.8735612927428966	0.9797242162796868	0.038033906567648	not_tiered	down_in_case	same_direction	weak_same_direction
C4B	-4.150000000000002	down_in_chronic	PXD054937_tissue_T2DM_vs_PTDM	tissue_context_proximal_tubule	proximal tubule tissue pre-existing type 2 diabetes vs post-transplant diabetes	PXD054937	T2DM	PTDM	6	6	Kidney/urinary	proximal tubule tissue context	Human FFPE proximal tubule diabetes-related tissue context	human	True	C4B	P0C0L5	P0C0L5	Complement C4-B OS=Homo sapiens OX=9606 GN=C4B PE=1 SV=2	0.2481396314912469	0.1456793062683523	0.9089520388310324	0.2481396314912469	not_tiered	up_in_case	opposite_direction	weak_opposite_direction
CD44	1.5799999999999983	up_in_chronic	PXD054937_tissue_T2DM_vs_PTDM	tissue_context_proximal_tubule	proximal tubule tissue pre-existing type 2 diabetes vs post-transplant diabetes	PXD054937	T2DM	PTDM	6	6	Kidney/urinary	proximal tubule tissue context	Human FFPE proximal tubule diabetes-related tissue context	human	True	CD44	P16070	P16070	CD44 antigen OS=Homo sapiens OX=9606 GN=CD44 PE=1 SV=3	0.124445402441264	0.4777432380466008	0.9089520388310324	0.124445402441264	not_tiered	up_in_case	same_direction	weak_same_direction
CFHR2	1.4699999999999989	up_in_chronic	PXD054937_tissue_T2DM_vs_PTDM	tissue_context_proximal_tubule	proximal tubule tissue pre-existing type 2 diabetes vs post-transplant diabetes	PXD054937	T2DM	PTDM	6	6	Kidney/urinary	proximal tubule tissue context	Human FFPE proximal tubule diabetes-related tissue context	human	True	CFHR2	P36980	P36980	Complement factor H-related protein 2 OS=Homo sapiens OX=9606 GN=CFHR2 PE=1 SV=1	0.4969424088993497	0.1209616334221647	0.9089520388310324	0.4969424088993497	not_tiered	up_in_case	same_direction	weak_same_direction
ITIH3	-1.2100000000000009	down_in_chronic	PXD054937_tissue_T2DM_vs_PTDM	tissue_context_proximal_tubule	proximal tubule tissue pre-existing type 2 diabetes vs post-transplant diabetes	PXD054937	T2DM	PTDM	6	6	Kidney/urinary	proximal tubule tissue context	Human FFPE proximal tubule diabetes-related tissue context	human	True	ITIH3	Q06033	Q06033	Inter-alpha-trypsin inhibitor heavy chain H3 OS=Homo sapiens OX=9606 GN=ITIH3 PE=1 SV=2	0.4470266925837478	0.1127326150915097	0.9089520388310324	0.4470266925837478	not_tiered	up_in_case	opposite_direction	weak_opposite_direction
LRG1	-1.7199999999999989	down_in_chronic	PXD054937_tissue_T2DM_vs_PTDM	tissue_context_proximal_tubule	proximal tubule tissue pre-existing type 2 diabetes vs post-transplant diabetes	PXD054937	T2DM	PTDM	6	6	Kidney/urinary	proximal tubule tissue context	Human FFPE proximal tubule diabetes-related tissue context	human	False									not_detected	not_detected	not_detected	not_detected_or_unmapped
MYH7B	-5.32	down_in_chronic	PXD054937_tissue_T2DM_vs_PTDM	tissue_context_proximal_tubule	proximal tubule tissue pre-existing type 2 diabetes vs post-transplant diabetes	PXD054937	T2DM	PTDM	6	6	Kidney/urinary	proximal tubule tissue context	Human FFPE proximal tubule diabetes-related tissue context	human	False									not_detected	not_detected	not_detected	not_detected_or_unmapped
ACTG1	-5.98	down_in_chronic	primary__curated_gate2_case_control__liver_dysfunction__GSE251855__case_vs_control	liver_dysfunction	Liver dysfunction	GSE251855	case	control	37	20	Hepatic	liver disease / hepatic dysfunction	Liver dysfunction case-control proteomics	human	False									not_detected	not_detected	not_detected	not_detected_or_unmapped
VWF	4.280000000000001	up_in_chronic	primary__curated_gate2_case_control__liver_dysfunction__GSE251855__case_vs_control	liver_dysfunction	Liver dysfunction	GSE251855	case	control	37	20	Hepatic	liver disease / hepatic dysfunction	Liver dysfunction case-control proteomics	human	True	VWF	P04275	P04275		0.39241631464543	0.0319137710675937	0.224097799035081	0.39241631464543	not_tiered	up_in_case	same_direction	weak_same_direction
DNAH9	5.84	up_in_chronic	primary__curated_gate2_case_control__liver_dysfunction__GSE251855__case_vs_control	liver_dysfunction	Liver dysfunction	GSE251855	case	control	37	20	Hepatic	liver disease / hepatic dysfunction	Liver dysfunction case-control proteomics	human	False									not_detected	not_detected	not_detected	not_detected_or_unmapped
GPX3	-2.8299999999999983	down_in_chronic	primary__curated_gate2_case_control__liver_dysfunction__GSE251855__case_vs_control	liver_dysfunction	Liver dysfunction	GSE251855	case	control	37	20	Hepatic	liver disease / hepatic dysfunction	Liver dysfunction case-control proteomics	human	False									not_detected	not_detected	not_detected	not_detected_or_unmapped
C4B	-4.150000000000002	down_in_chronic	primary__curated_gate2_case_control__liver_dysfunction__GSE251855__case_vs_control	liver_dysfunction	Liver dysfunction	GSE251855	case	control	37	20	Hepatic	liver disease / hepatic dysfunction	Liver dysfunction case-control proteomics	human	False									not_detected	not_detected	not_detected	not_detected_or_unmapped
CD44	1.5799999999999983	up_in_chronic	primary__curated_gate2_case_control__liver_dysfunction__GSE251855__case_vs_control	liver_dysfunction	Liver dysfunction	GSE251855	case	control	37	20	Hepatic	liver disease / hepatic dysfunction	Liver dysfunction case-control proteomics	human	False									not_detected	not_detected	not_detected	not_detected_or_unmapped
CFHR2	1.4699999999999989	up_in_chronic	primary__curated_gate2_case_control__liver_dysfunction__GSE251855__case_vs_control	liver_dysfunction	Liver dysfunction	GSE251855	case	control	37	20	Hepatic	liver disease / hepatic dysfunction	Liver dysfunction case-control proteomics	human	False									not_detected	not_detected	not_detected	not_detected_or_unmapped
ITIH3	-1.2100000000000009	down_in_chronic	primary__curated_gate2_case_control__liver_dysfunction__GSE251855__case_vs_control	liver_dysfunction	Liver dysfunction	GSE251855	case	control	37	20	Hepatic	liver disease / hepatic dysfunction	Liver dysfunction case-control proteomics	human	False									not_detected	not_detected	not_detected	not_detected_or_unmapped
LRG1	-1.7199999999999989	down_in_chronic	primary__curated_gate2_case_control__liver_dysfunction__GSE251855__case_vs_control	liver_dysfunction	Liver dysfunction	GSE251855	case	control	37	20	Hepatic	liver disease / hepatic dysfunction	Liver dysfunction case-control proteomics	human	False									not_detected	not_detected	not_detected	not_detected_or_unmapped
MYH7B	-5.32	down_in_chronic	primary__curated_gate2_case_control__liver_dysfunction__GSE251855__case_vs_control	liver_dysfunction	Liver dysfunction	GSE251855	case	control	37	20	Hepatic	liver disease / hepatic dysfunction	Liver dysfunction case-control proteomics	human	False									not_detected	not_detected	not_detected	not_detected_or_unmapped
ACTG1	-5.98	down_in_chronic	primary__curated_gate2_case_control__liver_dysfunction__PXD011839__case_vs_control	liver_dysfunction	Liver dysfunction	PXD011839	case	control	48	24	Hepatic	liver disease / hepatic dysfunction	Liver dysfunction case-control proteomics	human	False									not_detected	not_detected	not_detected	not_detected_or_unmapped
VWF	4.280000000000001	up_in_chronic	primary__curated_gate2_case_control__liver_dysfunction__PXD011839__case_vs_control	liver_dysfunction	Liver dysfunction	PXD011839	case	control	48	24	Hepatic	liver disease / hepatic dysfunction	Liver dysfunction case-control proteomics	human	True	VWF	P04275	P04275	von Willebrand factor;von Willebrand antigen 2	0.161629692328574	0.605834696909661	0.883660981665536	0.161629692328574	not_tiered	up_in_case	same_direction	weak_same_direction
DNAH9	5.84	up_in_chronic	primary__curated_gate2_case_control__liver_dysfunction__PXD011839__case_vs_control	liver_dysfunction	Liver dysfunction	PXD011839	case	control	48	24	Hepatic	liver disease / hepatic dysfunction	Liver dysfunction case-control proteomics	human	False									not_detected	not_detected	not_detected	not_detected_or_unmapped
GPX3	-2.8299999999999983	down_in_chronic	primary__curated_gate2_case_control__liver_dysfunction__PXD011839__case_vs_control	liver_dysfunction	Liver dysfunction	PXD011839	case	control	48	24	Hepatic	liver disease / hepatic dysfunction	Liver dysfunction case-control proteomics	human	True	GPX3	P22352	P22352;A0A087X1J7;H0YBE4;Q6NXQ3;E5RG32;H0YC19	Glutathione peroxidase 3;Glutathione peroxidase	0.464267993505093	0.321725288759334	0.762664845881136	0.464267993505093	not_tiered	up_in_case	opposite_direction	weak_opposite_direction
C4B	-4.150000000000002	down_in_chronic	primary__curated_gate2_case_control__liver_dysfunction__PXD011839__case_vs_control	liver_dysfunction	Liver dysfunction	PXD011839	case	control	48	24	Hepatic	liver disease / hepatic dysfunction	Liver dysfunction case-control proteomics	human	True	C4B	P0C0L5	P0C0L5;F5GXS0;B4E344	Complement C4-B;Complement C4 beta chain;Complement C4-B alpha chain;C4a anaphylatoxin;C4b-B;C4d-B;Complement C4 gamma chain	0.405889542100361	0.0079527496364046	0.276358049865063	0.405889542100361	not_tiered	up_in_case	opposite_direction	weak_opposite_direction
CD44	1.5799999999999983	up_in_chronic	primary__curated_gate2_case_control__liver_dysfunction__PXD011839__case_vs_control	liver_dysfunction	Liver dysfunction	PXD011839	case	control	48	24	Hepatic	liver disease / hepatic dysfunction	Liver dysfunction case-control proteomics	human	True	CD44	P16070	P16070;B4DN59;A8K309;H0YD13;H0Y2P0;H0YDW7;H0YCV9;H0Y5E4;H0YE40;H0YDX6;H0YD17;H0YEU1;B4E2X0;C1PHC2;C1PHC4;C1PHC3;E9PKC6;Q86UZ1;H0YF08;H0YDV8;H0YD90;H0YCL4;H0YEV3	CD44 antigen	0.252840103389065	0.442196332559798	0.851401111081571	0.252840103389065	not_tiered	up_in_case	same_direction	weak_same_direction
CFHR2	1.4699999999999989	up_in_chronic	primary__curated_gate2_case_control__liver_dysfunction__PXD011839__case_vs_control	liver_dysfunction	Liver dysfunction	PXD011839	case	control	48	24	Hepatic	liver disease / hepatic dysfunction	Liver dysfunction case-control proteomics	human	False									not_detected	not_detected	not_detected	not_detected_or_unmapped
ITIH3	-1.2100000000000009	down_in_chronic	primary__curated_gate2_case_control__liver_dysfunction__PXD011839__case_vs_control	liver_dysfunction	Liver dysfunction	PXD011839	case	control	48	24	Hepatic	liver disease / hepatic dysfunction	Liver dysfunction case-control proteomics	human	True	ITIH3	Q06033	Q06033;E7ET33;B4DPQ4;A0A087WW43	Inter-alpha-trypsin inhibitor heavy chain H3	0.295284101319464	0.398733017120964	0.808682687598394	0.295284101319464	not_tiered	up_in_case	opposite_direction	weak_opposite_direction
LRG1	-1.7199999999999989	down_in_chronic	primary__curated_gate2_case_control__liver_dysfunction__PXD011839__case_vs_control	liver_dysfunction	Liver dysfunction	PXD011839	case	control	48	24	Hepatic	liver disease / hepatic dysfunction	Liver dysfunction case-control proteomics	human	True	LRG1	P02750	P02750;B4E1I8	Leucine-rich alpha-2-glycoprotein	-0.123590664154669	0.298721587806891	0.762664845881136	0.123590664154669	not_tiered	down_in_case	same_direction	weak_same_direction
MYH7B	-5.32	down_in_chronic	primary__curated_gate2_case_control__liver_dysfunction__PXD011839__case_vs_control	liver_dysfunction	Liver dysfunction	PXD011839	case	control	48	24	Hepatic	liver disease / hepatic dysfunction	Liver dysfunction case-control proteomics	human	False									not_detected	not_detected	not_detected	not_detected_or_unmapped
ACTG1	-5.98	down_in_chronic	primary__curated_gate2_case_control__cardiac_disease__GSE181091__case_vs_control	cardiac_disease	Cardiac disease	GSE181091	case	control	8	4	Cardiovascular/inflammatory	cardiovascular disease / inflammatory cardiac involvement	Cardiac disease and MIS-C cardiac involvement	human	False									not_detected	not_detected	not_detected	not_detected_or_unmapped
VWF	4.280000000000001	up_in_chronic	primary__curated_gate2_case_control__cardiac_disease__GSE181091__case_vs_control	cardiac_disease	Cardiac disease	GSE181091	case	control	8	4	Cardiovascular/inflammatory	cardiovascular disease / inflammatory cardiac involvement	Cardiac disease and MIS-C cardiac involvement	human	True	VWF	P04275	P04275		1.1759461690625	0.0232874372391196	0.147975029770863	1.1759461690625	exploratory	up_in_case	same_direction	concordant_exploratory
DNAH9	5.84	up_in_chronic	primary__curated_gate2_case_control__cardiac_disease__GSE181091__case_vs_control	cardiac_disease	Cardiac disease	GSE181091	case	control	8	4	Cardiovascular/inflammatory	cardiovascular disease / inflammatory cardiac involvement	Cardiac disease and MIS-C cardiac involvement	human	False									not_detected	not_detected	not_detected	not_detected_or_unmapped
GPX3	-2.8299999999999983	down_in_chronic	primary__curated_gate2_case_control__cardiac_disease__GSE181091__case_vs_control	cardiac_disease	Cardiac disease	GSE181091	case	control	8	4	Cardiovascular/inflammatory	cardiovascular disease / inflammatory cardiac involvement	Cardiac disease and MIS-C cardiac involvement	human	False									not_detected	not_detected	not_detected	not_detected_or_unmapped
C4B	-4.150000000000002	down_in_chronic	primary__curated_gate2_case_control__cardiac_disease__GSE181091__case_vs_control	cardiac_disease	Cardiac disease	GSE181091	case	control	8	4	Cardiovascular/inflammatory	cardiovascular disease / inflammatory cardiac involvement	Cardiac disease and MIS-C cardiac involvement	human	False									not_detected	not_detected	not_detected	not_detected_or_unmapped
CD44	1.5799999999999983	up_in_chronic	primary__curated_gate2_case_control__cardiac_disease__GSE181091__case_vs_control	cardiac_disease	Cardiac disease	GSE181091	case	control	8	4	Cardiovascular/inflammatory	cardiovascular disease / inflammatory cardiac involvement	Cardiac disease and MIS-C cardiac involvement	human	False									not_detected	not_detected	not_detected	not_detected_or_unmapped
CFHR2	1.4699999999999989	up_in_chronic	primary__curated_gate2_case_control__cardiac_disease__GSE181091__case_vs_control	cardiac_disease	Cardiac disease	GSE181091	case	control	8	4	Cardiovascular/inflammatory	cardiovascular disease / inflammatory cardiac involvement	Cardiac disease and MIS-C cardiac involvement	human	False									not_detected	not_detected	not_detected	not_detected_or_unmapped
ITIH3	-1.2100000000000009	down_in_chronic	primary__curated_gate2_case_control__cardiac_disease__GSE181091__case_vs_control	cardiac_disease	Cardiac disease	GSE181091	case	control	8	4	Cardiovascular/inflammatory	cardiovascular disease / inflammatory cardiac involvement	Cardiac disease and MIS-C cardiac involvement	human	False									not_detected	not_detected	not_detected	not_detected_or_unmapped
LRG1	-1.7199999999999989	down_in_chronic	primary__curated_gate2_case_control__cardiac_disease__GSE181091__case_vs_control	cardiac_disease	Cardiac disease	GSE181091	case	control	8	4	Cardiovascular/inflammatory	cardiovascular disease / inflammatory cardiac involvement	Cardiac disease and MIS-C cardiac involvement	human	False									not_detected	not_detected	not_detected	not_detected_or_unmapped
MYH7B	-5.32	down_in_chronic	primary__curated_gate2_case_control__cardiac_disease__GSE181091__case_vs_control	cardiac_disease	Cardiac disease	GSE181091	case	control	8	4	Cardiovascular/inflammatory	cardiovascular disease / inflammatory cardiac involvement	Cardiac disease and MIS-C cardiac involvement	human	False									not_detected	not_detected	not_detected	not_detected_or_unmapped
ACTG1	-5.98	down_in_chronic	primary__curated_gate2_case_control__cardiac_disease__GSE95368__case_vs_control	cardiac_disease	Cardiac disease	GSE95368	case	control	27	6	Cardiovascular/inflammatory	cardiovascular disease / inflammatory cardiac involvement	Cardiac disease and MIS-C cardiac involvement	human	False									not_detected	not_detected	not_detected	not_detected_or_unmapped
VWF	4.280000000000001	up_in_chronic	primary__curated_gate2_case_control__cardiac_disease__GSE95368__case_vs_control	cardiac_disease	Cardiac disease	GSE95368	case	control	27	6	Cardiovascular/inflammatory	cardiovascular disease / inflammatory cardiac involvement	Cardiac disease and MIS-C cardiac involvement	human	False									not_detected	not_detected	not_detected	not_detected_or_unmapped
DNAH9	5.84	up_in_chronic	primary__curated_gate2_case_control__cardiac_disease__GSE95368__case_vs_control	cardiac_disease	Cardiac disease	GSE95368	case	control	27	6	Cardiovascular/inflammatory	cardiovascular disease / inflammatory cardiac involvement	Cardiac disease and MIS-C cardiac involvement	human	False									not_detected	not_detected	not_detected	not_detected_or_unmapped
